data,veiculo,ano,tipo,cod_fipe,preco
2018-01-01,Ford _ Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p _ ,Zero KM,Carro,003412-6,45729
2018-01-01,Ford _ Ka+ Sedan 1.0 SEL TiCVT Flex 4p _ ,Zero KM,Carro,003413-4,51519
2018-01-01,Ford _ Ka+ Sedan 1.5 ADVANCED 16V Flex 4p _ ,Zero KM,Carro,003446-0,53581
2018-01-01,Ford _ Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p _ ,Zero KM,Carro,003414-2,50445
2018-01-01,Ford _ Ka+ Sedan 1.5 SEL 16V Flex 4p _ ,Zero KM,Carro,003415-0,56994
2018-01-01,Hyundai _ HB20 C./C.Plus/C.Style 1.6 Flex 16V Mec. _ ,Zero KM,Carro,015089-4,52450
2018-01-01,Hyundai _ HB20 5 Anos 1.6 Flex 16V Aut. _ ,Zero KM,Carro,015150-5,60573
2018-01-01,Hyundai _ HB20 Comfort Style 1.0 TB Flex 12V Mec. _ ,Zero KM,Carro,015127-0,52544
2018-01-01,Hyundai _ HB20 C.Style/C.Plus 1.6 Flex 16V Aut. _ ,Zero KM,Carro,015090-8,57444
2018-01-01,Hyundai _ HB20 Comf./C.Plus/C.Style 1.0 Flex 12V _ ,Zero KM,Carro,015088-6,44768
2018-01-01,Hyundai _ HB20 Comfort Plus 1.0 TB Flex 12V Mec. _ ,Zero KM,Carro,015126-2,50246
2018-01-01,Hyundai _ HB20 5 Anos 1.0 Flex 12V Mec. _ ,Zero KM,Carro,015147-5,49488
2018-01-01,Ford _ Ka TRAIL 1.5 16V Flex Mec. 5p _ ,Zero KM,Carro,003434-7,50373
2018-01-01,Chevrolet _ ONIX HATCH ACTIV 1.4 8V Flex 5P Aut. _ ,Zero KM,Carro,004471-7,63354
2018-01-01,Ford _ Ka SEL 1.5 16V Flex 5p _ ,Zero KM,Carro,003411-8,52736
2018-01-01,Hyundai _ HB20 Premium 1.6 Flex 16V Aut. _ ,Zero KM,Carro,015092-4,63600
2018-01-01,Chevrolet _ ONIX HATCH ACTIV 1.4 8V Flex 5p Mec. _ ,Zero KM,Carro,004472-5,58496
2018-01-01,Chevrolet _ ONIX HATCH EFFECT 1.4 8V F.Power 5p Mec. _ ,Zero KM,Carro,004460-1,53909
2018-01-01,Chevrolet _ ONIX HATCH Joy 1.0 8V Flex 5p Mec. _ ,Zero KM,Carro,004473-3,40565
2018-01-01,Chevrolet _ ONIX HATCH LT 1.0 8V FlexPower 5p Mec. _ ,Zero KM,Carro,004424-5,45238
2018-01-01,Chevrolet _ ONIX HATCH LT 1.4 8V FlexPower 5p Aut. _ ,Zero KM,Carro,004438-5,54710
2018-01-01,Ford _ Ka TRAIL 1.0 12V Flex Mec. 5p _ ,Zero KM,Carro,003435-5,46728
2018-01-01,Chevrolet _ ONIX HATCH LT 1.4 8V FlexPower 5p Mec. _ ,Zero KM,Carro,004425-3,49462
2018-01-01,Chevrolet _ ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec. _ ,Zero KM,Carro,004426-1,55023
2018-01-01,Ford _ Ka 1.0 S TiVCT Flex 5p _ ,Zero KM,Carro,003448-7,39905
2018-01-01,Ford _ Ka 1.0 SE/SE Plus TiVCT Flex 5p _ ,Zero KM,Carro,003408-8,42646
2018-01-01,Ford _ Ka 1.0 SEL TiVCT Flex 5p _ ,Zero KM,Carro,003409-6,48051
2018-01-01,Ford _ Ka 1.0 TECNO 12V Flex 5p _ ,Zero KM,Carro,003447-9,46741
2018-01-01,Ford _ Ka 1.5 SE/SE PLUS 16V Flex 5p _ ,Zero KM,Carro,003410-0,47983
2018-01-01,Chevrolet _ ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut. _ ,Zero KM,Carro,004439-3,59498
2018-01-01,Hyundai _ HB20 R spec 1.6 Flex 16V Aut. _ ,Zero KM,Carro,015124-6,61126
2018-01-01,Hyundai _ HB20X Style 1.6 Flex 16V Aut. _ ,Zero KM,Carro,015095-9,63205
2018-01-01,Hyundai _ HB20S 5 Anos 1.6 Flex 16V Aut. _ ,Zero KM,Carro,015149-1,64893
2018-01-01,Hyundai _ HB20S 5 Anos 1.0 Flex 12V Mec. _ ,Zero KM,Carro,015148-3,53826
2018-01-01,VolksWagen _ Golf Variant Highli. 1.4 TSI T.Flex Aut _ ,Zero KM,Carro,005465-8,118633
2018-01-01,VolksWagen _ Golf Variant Comfort. 1.4 TSI T.Flex Aut _ ,Zero KM,Carro,005467-4,98653
2018-01-01,VolksWagen _ Golf Highline 1.4 TSI Total Flex Mec. _ ,Zero KM,Carro,005450-0,109077
2018-01-01,VolksWagen _ Golf Highline 1.4 TSI Total Flex Aut. _ ,Zero KM,Carro,005451-8,112703
2018-01-01,VolksWagen _ Golf GTi 2.0 TSI 220cv Aut. _ ,Zero KM,Carro,005356-2,139541
2018-01-01,VolksWagen _ Golf Comfortline 1.6 MSI Total Flex Mec. _ ,Zero KM,Carro,005448-8,76290
2018-01-01,VolksWagen _ Golf Comfortline 1.6 MSI Total Flex Aut. _ ,Zero KM,Carro,005449-6,79990
2018-01-01,VolksWagen _ Golf Comfortline 1.0 TSI Total Flex Mec. _ ,Zero KM,Carro,005466-6,78574
2018-01-01,VolksWagen _ Gol Trendline 1.6 T.Flex 8V 5p _ ,Zero KM,Carro,005397-0,45157
2018-01-01,VolksWagen _ Gol Trendline 1.0 T.Flex 12V 5p _ ,Zero KM,Carro,005455-0,40963
